name,totalGameTime1,numberOfWallsHit1,timeSpentOnGravel1,timeSpentFrozen1,totalGameTime2,numberOfWallsHit2,timeSpentOnGravel2,timeSpentFrozen2,totalGameTimeDifference,numberOfWallsHitDifference
Participant_1,98.40399933,14,4.589000225,28.07299995,104.3320007,15,8.159000397,30.11899948,5.92800137,1
Participant_2,96.58799744,15,0,30.10400009,88.47299957,11,0,22.06599998,-8.11499787,-4
Participant_3,81.65699768,7,1.531000018,14.03100014,74.32499695,4,0,8.036000252,-7.33200073,-3
Participant_4,98.7440033,15,2.533000231,30.02199936,84.40100098,9,0,18.03499985,-14.34300232,-6
Participant_5,99.00800323,15,5.107000351,30.0909996,87.72799683,10,1.534000039,20.04999924,-11.2800064,-5
Participant_6,124.1409988,21,21.92700195,42.1609993,113.6819992,17,17.86900139,34.13100052,-10.4589996,-4
Participant 7,117.1829987,23,7.180000305,46.11199951,110.6559982,22,0,44.07400131,-6.5270005,-1
Participant_8,100.6949997,12,17.04200172,24.07600021,87.95600128,10,1.741000056,20.02300072,-12.73899842,-2
Participant_9,104.7580032,16,10.9800005,32.14799881,100.1090012,14,14.01100063,28.10000038,-4.649002,-2
Participant_10,86.42299652,10,0,20.03800011,82.38700104,8,0,16.03199959,-4.03599548,-2
Participant_11,98.55200195,16,0,32.07899857,92.50800323,13,0,26.06699944,-6.04399872,-3
Participant_12,110.0319977,13,27.86900139,26.13400078,119.2089996,14,46.71800232,28.21199989,9.1770019,1
Participant_13,86.45400238,10,0,20.06699944,76.31900024,5,0,10.02000046,-10.13500214,-5
Participant_14,85.9260025,8,7.556000233,16.04800034,72.30000305,3,0,6.015999794,-13.62599945,-5
Participant_15,88.47399902,11,0,22.07600021,92.52400208,13,0,26.06599998,4.05000306,2
Participant_16,82.40299988,8,0,16.04700089,78.35600281,6,0,12.03499985,-4.04699707,-2
Participant_17,112.5930023,22,2.722000122,44.08800125,116.9810028,19,24.6950016,38.1969986,4.3880005,-3
