name,totalGameTime1,numberOfWallsHit1,timeSpentOnGravel1,timeSpentFrozen1,totalGameTime2,numberOfWallsHit2,timeSpentOnGravel2,timeSpentFrozen2,totalGameTimeDifference,numberOfWallsHitDifference
Participant_1,70.26799774,2,0,4.013999939,70.27300262,2,0,4.015999794,0.00500488,0
Participant_2,70.29000092,2,0,4.028999805,74.30500031,4,0,8.013999939,4.01499939,2
Participant_3,66.21499634,0,0,0,70.26699829,2,0,4.013999939,4.05200195,2
Participant_4,70.27700043,2,0,4.013999939,70.26699829,2,0,4.014999866,-0.01000214,0
Participant_5,70.26899719,2,0,4.015999794,66.21800232,0,0,0,-4.05099487,-2
Participant_6,68.25099945,1,0,2.015000105,70.28700256,2,0,4.032999992,2.03600311,1
Participant_7,68.25499725,1,0,2.015000105,66.22200012,0,0,0,-2.03299713,-1
Participant_8,73.56600189,2,4.589000225,4.015999794,67.63899994,0,1.732000113,0,-5.92700195,-2
Participant_9,66.21600342,0,0,0,66.21700287,0,0,0,0.00099945,0
Participant_10,66.21800232,0,0,0,66.2440033,0,0,0,0.02600098,0
Participant_11,68.25099945,1,0,2.015000105,70.26100159,2,0,4.000999928,2.01000214,1
Participant_12,68.25,1,0,2.016000032,66.22100067,0,0,0,-2.02899933,-1
Participant_13,68.24900055,1,0,2.013999939,70.29599762,2,0,4.03000021,2.04699707,1
Participant_14,68.25099945,1,0,2.015000105,68.26000214,1,0,2.013000011,0.00900269,0
Participant_15,70.26599884,2,0,4.006999969,68.2559967,1,0,2.013000011,-2.01000214,-1
Participant_16,66.22299957,0,0,0,68.24199677,1,0,2.000999928,2.0189972,1
Participant_17,74.72399902,3,2.78000021,6.000999928,68.25099945,1,0,2.013999939,-6.47299957,-2
