date,finishTime,totalGameTime,trialNo,numberOfWallsHit,name,visual,timeSpentOnGravel,startTime,timeSpentFrozen,successfullyFinished
05.02.2022,13:17:15,80.34300232,1,6,Participant_1,TRUE,2.037000179,13:15:55,12.04100037,TRUE
05.02.2022,13:19:12,70.26799774,2,2,Participant_1,TRUE,0,13:18:02,4.013999939,TRUE
05.02.2022,13:20:51,70.27300262,3,2,Participant_1,TRUE,0,13:19:41,4.015999794,TRUE
05.02.2022,14:17:34,74.30899811,1,4,Participant_2,TRUE,0,14:16:20,8.015000343,TRUE
05.02.2022,14:19:11,70.29000092,2,2,Participant_2,TRUE,0,14:18:00,4.028999805,TRUE
05.02.2022,14:20:44,74.30500031,3,4,Participant_2,TRUE,0,14:19:29,8.013999939,TRUE
05.02.2022,14:39:12,78.35900116,3,6,Participant_3,TRUE,0,14:37:53,12.03299999,TRUE
05.02.2022,14:41:06,66.21499634,2,0,Participant_3,TRUE,0,14:40:00,0,TRUE
05.02.2022,14:43:23,70.26699829,3,2,Participant_3,TRUE,0,14:42:13,4.013999939,TRUE
05.02.2022,15:07:06,72.30799866,1,3,Participant_4,TRUE,0,15:05:54,6.028999805,TRUE
05.02.2022,15:08:37,70.27700043,2,2,Participant_4,TRUE,0,15:07:26,4.013999939,TRUE
05.02.2022,15:10:05,70.26699829,3,2,Participant_4,TRUE,0,15:08:55,4.014999866,TRUE
05.02.2022,15:50:26,72.28500366,1,3,Participant_5,TRUE,0,15:49:14,6.018000126,TRUE
05.02.2022,15:52:01,70.26899719,2,2,Participant_5,TRUE,0,15:50:51,4.015999794,TRUE
05.02.2022,15:53:34,66.21800232,3,0,Participant_5,TRUE,0,15:52:28,0,TRUE
05.02.2022,17:22:39,68.2519989,1,1,Participant_6,TRUE,0,17:21:31,2.015000105,TRUE
05.02.2022,17:24:14,68.25099945,2,1,Participant_6,TRUE,0,17:23:06,2.015000105,TRUE
05.02.2022,17:25:54,70.28700256,3,2,Participant_6,TRUE,0,17:24:44,4.032999992,TRUE
06.02.2022,12:44:24,84.99900055,1,6,Participant_7,TRUE,7.330000401,12:42:59,12.02999973,TRUE
06.02.2022,12:47:07,68.25499725,2,1,Participant_7,TRUE,0,12:45:59,2.015000105,TRUE
06.02.2022,12:48:38,66.22200012,3,0,Participant_7,TRUE,0,12:47:32,0,TRUE
06.02.2022,15:30:03,72.28700256,1,3,Participant_8,TRUE,0,15:28:51,6.015999794,TRUE
06.02.2022,15:31:57,73.56600189,2,2,Participant_8,TRUE,4.589000225,15:30:44,4.015999794,TRUE
06.02.2022,15:33:43,67.63899994,3,0,Participant_8,TRUE,1.732000113,15:32:36,0,TRUE
06.02.2022,16:40:58,72.28500366,1,3,Participant_9,TRUE,0,16:39:46,6.014999866,TRUE
06.02.2022,16:42:22,66.21600342,2,0,Participant_9,TRUE,0,16:41:16,0,TRUE
06.02.2022,16:43:47,66.21700287,3,0,Participant_9,TRUE,0,16:42:41,0,TRUE
06.02.2022,17:02:42,68.23899841,1,1,Participant_10,TRUE,0,17:01:33,2,TRUE
06.02.2022,17:04:10,66.21800232,2,0,Participant_10,TRUE,0,17:03:03,0,TRUE
06.02.2022,17:05:41,66.2440033,3,0,Participant_10,TRUE,0,17:04:34,0,TRUE
06.02.2022,17:23:57,72.3239975,1,3,Participant_11,TRUE,0,17:22:45,6.047999859,TRUE
06.02.2022,17:25:36,68.25099945,2,1,Participant_11,TRUE,0,17:24:28,2.015000105,TRUE
06.02.2022,17:27:01,70.26100159,3,2,Participant_11,TRUE,0,17:25:51,4.000999928,TRUE
06.02.2022,17:54:42,70.27799988,1,2,Participant_12,TRUE,0,17:53:32,4.014999866,TRUE
06.02.2022,17:56:39,68.25,2,1,Participant_12,TRUE,0,17:55:30,2.016000032,TRUE
06.02.2022,17:58:16,66.22100067,3,0,Participant_12,TRUE,0,17:57:09,0,TRUE
06.02.2022,18:38:50,68.2539978,1,1,Participant_13,TRUE,0,18:37:42,2.015000105,TRUE
06.02.2022,18:40:31,68.24900055,2,1,Participant_13,TRUE,0,18:39:22,2.013999939,TRUE
06.02.2022,18:42:27,70.29599762,3,2,Participant_13,TRUE,0,18:41:17,4.03000021,TRUE
06.02.2022,19:01:03,72.28299713,1,3,Participant_14,TRUE,0,18:59:51,6.001999855,TRUE
06.02.2022,19:02:29,68.25099945,2,1,Participant_14,TRUE,0,19:01:21,2.015000105,TRUE
06.02.2022,19:03:56,68.26000214,3,1,Participant_14,TRUE,0,19:02:47,2.013000011,TRUE
07.02.2022,15:06:07,91.33300018,1,7,Participant_15,TRUE,15.98900032,15:04:36,14.05599976,TRUE
07.02.2022,15:13:02,70.26599884,2,2,Participant_15,TRUE,0,15:11:51,4.006999969,TRUE
07.02.2022,15:14:38,68.2559967,3,1,Participant_15,TRUE,0,15:13:30,2.013000011,TRUE
07.02.2022,15:52:11,66.22699738,1,0,Participant_16,TRUE,0,15:51:05,0,TRUE
07.02.2022,15:53:38,66.22299957,2,0,Participant_16,TRUE,0,15:52:32,0,TRUE
07.02.2022,15:55:03,68.24199677,3,1,Participant_16,TRUE,0,15:53:55,2.000999928,TRUE
07.02.2022,16:24:42,85.28900146,1,6,Participant_17,TRUE,8.427000046,16:23:17,12.04599953,TRUE
07.02.2022,16:26:17,74.72399902,2,3,Participant_17,TRUE,2.78000021,16:25:03,6.000999928,TRUE
07.02.2022,16:27:52,68.25099945,3,1,Participant_17,TRUE,0,16:26:44,2.013999939,TRUE
